Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
Learning Fundamentals - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-15 15:00:00+11:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-15 15:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-15 15:00:00+11:00
Workday Extend Consulting Core - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-29 21:00:00+11:00,2024-03-15 15:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-15 15:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-20 16:30:00+11:00,2024-03-24 01:30:00+11:00,2024-03-15 16:30:00+11:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-03-20 17:00:00+11:00,2024-03-24 01:00:00+11:00,2024-03-15 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-20 17:00:00+11:00,2024-03-24 01:00:00+11:00,2024-03-15 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-20 17:00:00+11:00,2024-03-24 01:00:00+11:00,2024-03-15 17:00:00+11:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-03-20 17:00:00+11:00,2024-03-24 01:00:00+11:00,2024-03-15 17:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-03-20 21:00:00+11:00,2024-03-24 05:00:00+11:00,2024-03-15 21:00:00+11:00
Prism Analytics Consulting Core - Learn Virtual,Open,Yes,2024-03-20 21:00:00+11:00,2024-03-24 03:00:00+11:00,2024-03-15 21:00:00+11:00
Payroll Fundamentals - Learn In-Person,Open,Yes,2024-03-20 21:00:00+11:00,2024-03-24 05:00:00+11:00,2024-03-15 21:00:00+11:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-03-20 21:00:00+11:00,2024-03-24 05:00:00+11:00,2024-03-15 21:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-20 21:00:00+11:00,2024-03-24 05:00:00+11:00,2024-03-15 21:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-20 21:00:00+11:00,2024-03-24 05:00:00+11:00,2024-03-15 21:00:00+11:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-03-20 21:00:00+11:00,2024-03-22 02:00:00+11:00,2024-03-15 21:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-22 20:00:00+11:00,2024-03-15 15:00:00+11:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-03-21 07:00:00+11:00,2024-03-23 12:00:00+11:00,2024-03-16 07:00:00+11:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-03-21 15:00:00+11:00,2024-03-23 20:00:00+11:00,2024-03-18 15:00:00+11:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-03-21 15:00:00+11:00,2024-03-22 20:00:00+11:00,2024-03-18 15:00:00+11:00
Workday Extend: Advanced Data and Orchestration Services - Learn Virtual,Open,Yes,2024-03-21 15:00:00+11:00,2024-03-23 20:00:00+11:00,2024-03-18 15:00:00+11:00
Prism Analytics - Learn Virtual,Open,Yes,2024-03-21 17:00:00+11:00,2024-03-23 22:00:00+11:00,2024-03-18 17:00:00+11:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-03-21 21:00:00+11:00,2024-03-24 02:00:00+11:00,2024-03-18 21:00:00+11:00
